,20251003142418-TorIP_geocoded,20251003143810-TorIP_geocoded,20251003164852-TorIP_geocoded,20251003172946-TorIP_geocoded,20251003173524-TorIP_geocoded,20251004173514-TorIP_geocoded,20251005173523-TorIP_geocoded,20251006173520-TorIP_geocoded,20251007173522-TorIP_geocoded,20251008173518-TorIP_geocoded,20251009173527-TorIP_geocoded,20251010173526-TorIP_geocoded,20251011173523-TorIP_geocoded,20251012173526-TorIP_geocoded,20251013173525-TorIP_geocoded,20251014173524-TorIP_geocoded
20251003142418-TorIP_geocoded,0.000000,0.007683,0.008989,0.008989,0.008989,0.011297,0.023081,0.023338,0.032610,0.041415,0.047208,0.048246,0.045002,0.046059,0.044087,0.046249
20251003143810-TorIP_geocoded,0.007683,0.000000,0.004744,0.004744,0.004744,0.008196,0.021819,0.022083,0.031694,0.038404,0.044589,0.045650,0.042208,0.043325,0.041214,0.043527
20251003164852-TorIP_geocoded,0.008989,0.004744,0.000000,0.000000,0.000000,0.009182,0.022236,0.022478,0.032288,0.038912,0.045036,0.045948,0.042537,0.043593,0.041502,0.043326
20251003172946-TorIP_geocoded,0.008989,0.004744,0.000000,0.000000,0.000000,0.009182,0.022236,0.022478,0.032288,0.038912,0.045036,0.045948,0.042537,0.043593,0.041502,0.043326
20251003173524-TorIP_geocoded,0.008989,0.004744,0.000000,0.000000,0.000000,0.009182,0.022236,0.022478,0.032288,0.038912,0.045036,0.045948,0.042537,0.043593,0.041502,0.043326
20251004173514-TorIP_geocoded,0.011297,0.008196,0.009182,0.009182,0.009182,0.000000,0.018442,0.018809,0.029677,0.036656,0.042660,0.044113,0.040486,0.041173,0.039158,0.041361
20251005173523-TorIP_geocoded,0.023081,0.021819,0.022236,0.022236,0.022236,0.018442,0.000000,0.008526,0.024946,0.036913,0.045614,0.048418,0.042845,0.042145,0.043127,0.043313
20251006173520-TorIP_geocoded,0.023338,0.022083,0.022478,0.022478,0.022478,0.018809,0.008526,0.000000,0.024624,0.036483,0.045242,0.047385,0.041656,0.040661,0.041906,0.042204
20251007173522-TorIP_geocoded,0.032610,0.031694,0.032288,0.032288,0.032288,0.029677,0.024946,0.024624,0.000000,0.026755,0.037845,0.042114,0.035512,0.034440,0.035950,0.036646
20251008173518-TorIP_geocoded,0.041415,0.038404,0.038912,0.038912,0.038912,0.036656,0.036913,0.036483,0.026755,0.000000,0.025816,0.031585,0.022075,0.022501,0.024002,0.024657
20251009173527-TorIP_geocoded,0.047208,0.044589,0.045036,0.045036,0.045036,0.042660,0.045614,0.045242,0.037845,0.025816,0.000000,0.019408,0.030921,0.032043,0.029669,0.033314
20251010173526-TorIP_geocoded,0.048246,0.045650,0.045948,0.045948,0.045948,0.044113,0.048418,0.047385,0.042114,0.031585,0.019408,0.000000,0.023349,0.025063,0.022220,0.026610
20251011173523-TorIP_geocoded,0.045002,0.042208,0.042537,0.042537,0.042537,0.040486,0.042845,0.041656,0.035512,0.022075,0.030921,0.023349,0.000000,0.009024,0.012639,0.012573
20251012173526-TorIP_geocoded,0.046059,0.043325,0.043593,0.043593,0.043593,0.041173,0.042145,0.040661,0.034440,0.022501,0.032043,0.025063,0.009024,0.000000,0.010752,0.010911
20251013173525-TorIP_geocoded,0.044087,0.041214,0.041502,0.041502,0.041502,0.039158,0.043127,0.041906,0.035950,0.024002,0.029669,0.022220,0.012639,0.010752,0.000000,0.014450
20251014173524-TorIP_geocoded,0.046249,0.043527,0.043326,0.043326,0.043326,0.041361,0.043313,0.042204,0.036646,0.024657,0.033314,0.026610,0.012573,0.010911,0.014450,0.000000
