,20251003142418-TorIP_geocoded,20251003143810-TorIP_geocoded,20251003164852-TorIP_geocoded,20251003172946-TorIP_geocoded,20251003173524-TorIP_geocoded,20251004173514-TorIP_geocoded,20251005173523-TorIP_geocoded,20251006173520-TorIP_geocoded,20251007173522-TorIP_geocoded,20251008173518-TorIP_geocoded,20251009173527-TorIP_geocoded,20251010173526-TorIP_geocoded,20251011173523-TorIP_geocoded,20251012173526-TorIP_geocoded,20251013173525-TorIP_geocoded,20251014173524-TorIP_geocoded
20251003142418-TorIP_geocoded,0.000000,0.007673,0.008980,0.008980,0.008980,0.011290,0.023059,0.023316,0.030438,0.039582,0.044103,0.045245,0.043329,0.044430,0.042395,0.044625
20251003143810-TorIP_geocoded,0.007673,0.000000,0.004743,0.004743,0.004743,0.008196,0.021800,0.022063,0.029456,0.036493,0.041352,0.042531,0.040489,0.041656,0.039471,0.041864
20251003164852-TorIP_geocoded,0.008980,0.004743,0.000000,0.000000,0.000000,0.009181,0.022217,0.022458,0.030095,0.037027,0.041834,0.042851,0.040831,0.041934,0.039772,0.041655
20251003172946-TorIP_geocoded,0.008980,0.004743,0.000000,0.000000,0.000000,0.009181,0.022217,0.022458,0.030095,0.037027,0.041834,0.042851,0.040831,0.041934,0.039772,0.041655
20251003173524-TorIP_geocoded,0.008980,0.004743,0.000000,0.000000,0.000000,0.009181,0.022217,0.022458,0.030095,0.037027,0.041834,0.042851,0.040831,0.041934,0.039772,0.041655
20251004173514-TorIP_geocoded,0.011290,0.008196,0.009181,0.009181,0.009181,0.000000,0.018421,0.018787,0.027275,0.034649,0.039265,0.040877,0.038690,0.039413,0.037318,0.039608
20251005173523-TorIP_geocoded,0.023059,0.021800,0.022217,0.022217,0.022217,0.018421,0.000000,0.008524,0.022054,0.034933,0.042448,0.045481,0.041162,0.040438,0.041456,0.041651
20251006173520-TorIP_geocoded,0.023316,0.022063,0.022458,0.022458,0.022458,0.018787,0.008524,0.000000,0.021689,0.034478,0.042047,0.044380,0.039922,0.038890,0.040185,0.040497
20251007173522-TorIP_geocoded,0.030438,0.029456,0.030095,0.030095,0.030095,0.027275,0.022054,0.021689,0.000000,0.026637,0.035906,0.040400,0.035414,0.034341,0.035846,0.036549
20251008173518-TorIP_geocoded,0.039582,0.036493,0.037027,0.037027,0.037027,0.034649,0.034933,0.034478,0.026637,0.000000,0.023016,0.029365,0.022056,0.022482,0.023970,0.024636
20251009173527-TorIP_geocoded,0.044103,0.041352,0.041834,0.041834,0.041834,0.039265,0.042448,0.042047,0.035906,0.023016,0.000000,0.019405,0.028635,0.029843,0.027294,0.031200
20251010173526-TorIP_geocoded,0.045245,0.042531,0.042851,0.042851,0.042851,0.040877,0.045481,0.044380,0.040400,0.029365,0.019405,0.000000,0.020264,0.022216,0.018972,0.023945
20251011173523-TorIP_geocoded,0.043329,0.040489,0.040831,0.040831,0.040831,0.038690,0.041162,0.039922,0.035414,0.022056,0.028635,0.020264,0.000000,0.009023,0.012608,0.012566
20251012173526-TorIP_geocoded,0.044430,0.041656,0.041934,0.041934,0.041934,0.039413,0.040438,0.038890,0.034341,0.022482,0.029843,0.022216,0.009023,0.000000,0.010716,0.010904
20251013173525-TorIP_geocoded,0.042395,0.039471,0.039772,0.039772,0.039772,0.037318,0.041456,0.040185,0.035846,0.023970,0.027294,0.018972,0.012608,0.010716,0.000000,0.014418
20251014173524-TorIP_geocoded,0.044625,0.041864,0.041655,0.041655,0.041655,0.039608,0.041651,0.040497,0.036549,0.024636,0.031200,0.023945,0.012566,0.010904,0.014418,0.000000
