date_mid,file_pair,distance_js2d,z
2025-10-03 14:31:14,20251003142418-TorIP_geocoded -> 20251003143810-TorIP_geocoded,0.007673,-0.266
2025-10-03 15:43:31,20251003143810-TorIP_geocoded -> 20251003164852-TorIP_geocoded,0.004743,-0.523
2025-10-03 17:09:19,20251003164852-TorIP_geocoded -> 20251003172946-TorIP_geocoded,0.000000,-0.938
2025-10-03 17:32:35,20251003172946-TorIP_geocoded -> 20251003173524-TorIP_geocoded,0.000000,-0.938
2025-10-04 05:35:19,20251003173524-TorIP_geocoded -> 20251004173514-TorIP_geocoded,0.009181,-0.134
2025-10-05 05:35:18,20251004173514-TorIP_geocoded -> 20251005173523-TorIP_geocoded,0.018421,0.674
2025-10-06 05:35:21,20251005173523-TorIP_geocoded -> 20251006173520-TorIP_geocoded,0.008524,-0.192
2025-10-07 05:35:21,20251006173520-TorIP_geocoded -> 20251007173522-TorIP_geocoded,0.021689,0.961
2025-10-08 05:35:20,20251007173522-TorIP_geocoded -> 20251008173518-TorIP_geocoded,0.026637,1.394
2025-10-09 05:35:22,20251008173518-TorIP_geocoded -> 20251009173527-TorIP_geocoded,0.023016,1.077
2025-10-10 05:35:26,20251009173527-TorIP_geocoded -> 20251010173526-TorIP_geocoded,0.019405,0.761
2025-10-11 05:35:24,20251010173526-TorIP_geocoded -> 20251011173523-TorIP_geocoded,0.020264,0.836
2025-10-12 05:35:24,20251011173523-TorIP_geocoded -> 20251012173526-TorIP_geocoded,0.009023,-0.148
2025-10-13 05:35:25,20251012173526-TorIP_geocoded -> 20251013173525-TorIP_geocoded,0.010716,0.000
2025-10-14 05:35:24,20251013173525-TorIP_geocoded -> 20251014173524-TorIP_geocoded,0.014418,0.324
