,20251003142418-TorIP_geocoded,20251003143810-TorIP_geocoded,20251003164852-TorIP_geocoded,20251003172946-TorIP_geocoded,20251003173524-TorIP_geocoded,20251004173514-TorIP_geocoded,20251005173523-TorIP_geocoded,20251006173520-TorIP_geocoded,20251007173522-TorIP_geocoded,20251008173518-TorIP_geocoded,20251009173527-TorIP_geocoded,20251010173526-TorIP_geocoded,20251011173523-TorIP_geocoded,20251012173526-TorIP_geocoded,20251013173525-TorIP_geocoded,20251014173524-TorIP_geocoded
20251003142418-TorIP_geocoded,0.000000,3.603966,3.610356,3.610356,3.610356,3.641776,3.777563,3.771735,3.788722,3.961450,4.143726,3.826008,3.878858,3.946005,3.864405,3.920622
20251003143810-TorIP_geocoded,3.603966,0.000000,3.544271,3.544271,3.544271,3.557834,3.692737,3.686551,3.704080,3.847105,4.005636,3.723332,3.778240,3.854816,3.767098,3.814587
20251003164852-TorIP_geocoded,3.610356,3.544271,0.000000,3.538645,3.538645,3.565778,3.703116,3.697833,3.724464,3.902871,4.089997,3.742032,3.795466,3.863778,3.784359,3.825797
20251003172946-TorIP_geocoded,3.610356,3.544271,3.538645,0.000000,3.538645,3.565778,3.703116,3.697833,3.724464,3.902871,4.089997,3.742032,3.795466,3.863778,3.784359,3.825797
20251003173524-TorIP_geocoded,3.610356,3.544271,3.538645,3.538645,0.000000,3.565778,3.703116,3.697833,3.724464,3.902871,4.089997,3.742032,3.795466,3.863778,3.784359,3.825797
20251004173514-TorIP_geocoded,3.641776,3.557834,3.565778,3.565778,3.565778,0.000000,3.676091,3.673326,3.698687,3.968197,4.135053,3.712760,3.763821,3.807626,3.737721,3.789659
20251005173523-TorIP_geocoded,3.777563,3.692737,3.703116,3.703116,3.703116,3.676091,0.000000,3.592487,3.623920,4.057226,4.232051,3.750920,3.703330,3.735359,3.765477,3.734280
20251006173520-TorIP_geocoded,3.771735,3.686551,3.697833,3.697833,3.697833,3.673326,3.592487,0.000000,3.612134,3.947932,4.161522,3.750858,3.702100,3.737332,3.767570,3.733301
20251007173522-TorIP_geocoded,3.788722,3.704080,3.724464,3.724464,3.724464,3.698687,3.623920,3.612134,0.000000,3.695363,3.868071,3.762113,3.713896,3.850012,3.797989,3.752900
20251008173518-TorIP_geocoded,3.961450,3.847105,3.902871,3.902871,3.902871,3.968197,4.057226,3.947932,3.695363,0.000000,3.705582,3.950524,3.991777,4.218713,4.098594,4.004394
20251009173527-TorIP_geocoded,4.143726,4.005636,4.089997,4.089997,4.089997,4.135053,4.232051,4.161522,3.868071,3.705582,0.000000,4.099982,4.148767,4.391125,4.274212,4.228210
20251010173526-TorIP_geocoded,3.826008,3.723332,3.742032,3.742032,3.742032,3.712760,3.750920,3.750858,3.762113,3.950524,4.099982,0.000000,3.679889,3.800932,3.735246,3.799630
20251011173523-TorIP_geocoded,3.878858,3.778240,3.795466,3.795466,3.795466,3.763821,3.703330,3.702100,3.713896,3.991777,4.148767,3.679889,0.000000,3.736948,3.780219,3.740971
20251012173526-TorIP_geocoded,3.946005,3.854816,3.863778,3.863778,3.863778,3.807626,3.735359,3.737332,3.850012,4.218713,4.391125,3.800932,3.736948,0.000000,3.683607,3.641199
20251013173525-TorIP_geocoded,3.864405,3.767098,3.784359,3.784359,3.784359,3.737721,3.765477,3.767570,3.797989,4.098594,4.274212,3.735246,3.780219,3.683607,0.000000,3.686092
20251014173524-TorIP_geocoded,3.920622,3.814587,3.825797,3.825797,3.825797,3.789659,3.734280,3.733301,3.752900,4.004394,4.228210,3.799630,3.740971,3.641199,3.686092,0.000000
