date_mid,file_pair,distance_sinkhorn2d,z
2025-10-03 14:31:14,20251003142418-TorIP_geocoded -> 20251003143810-TorIP_geocoded,3.603966,-0.761
2025-10-03 15:43:31,20251003143810-TorIP_geocoded -> 20251003164852-TorIP_geocoded,3.544271,-1.390
2025-10-03 17:09:19,20251003164852-TorIP_geocoded -> 20251003172946-TorIP_geocoded,3.538645,-1.450
2025-10-03 17:32:35,20251003172946-TorIP_geocoded -> 20251003173524-TorIP_geocoded,3.538645,-1.450
2025-10-04 05:35:19,20251003173524-TorIP_geocoded -> 20251004173514-TorIP_geocoded,3.565778,-1.163
2025-10-05 05:35:18,20251004173514-TorIP_geocoded -> 20251005173523-TorIP_geocoded,3.676091,0.000
2025-10-06 05:35:21,20251005173523-TorIP_geocoded -> 20251006173520-TorIP_geocoded,3.592487,-0.882
2025-10-07 05:35:21,20251006173520-TorIP_geocoded -> 20251007173522-TorIP_geocoded,3.612134,-0.674
2025-10-08 05:35:20,20251007173522-TorIP_geocoded -> 20251008173518-TorIP_geocoded,3.695363,0.203
2025-10-09 05:35:22,20251008173518-TorIP_geocoded -> 20251009173527-TorIP_geocoded,3.705582,0.311
2025-10-10 05:35:26,20251009173527-TorIP_geocoded -> 20251010173526-TorIP_geocoded,4.099982,4.470
2025-10-11 05:35:24,20251010173526-TorIP_geocoded -> 20251011173523-TorIP_geocoded,3.679889,0.040
2025-10-12 05:35:24,20251011173523-TorIP_geocoded -> 20251012173526-TorIP_geocoded,3.736948,0.642
2025-10-13 05:35:25,20251012173526-TorIP_geocoded -> 20251013173525-TorIP_geocoded,3.683607,0.079
2025-10-14 05:35:24,20251013173525-TorIP_geocoded -> 20251014173524-TorIP_geocoded,3.686092,0.105
