,20251003142418-TorIP_geocoded,20251003143810-TorIP_geocoded,20251003164852-TorIP_geocoded,20251003172946-TorIP_geocoded,20251003173524-TorIP_geocoded,20251004173514-TorIP_geocoded,20251005173523-TorIP_geocoded,20251006173520-TorIP_geocoded,20251007173522-TorIP_geocoded,20251008173518-TorIP_geocoded,20251009173527-TorIP_geocoded,20251010173526-TorIP_geocoded,20251011173523-TorIP_geocoded,20251012173526-TorIP_geocoded,20251013173525-TorIP_geocoded,20251014173524-TorIP_geocoded
20251003142418-TorIP_geocoded,0.000000,0.001241,0.003058,0.003058,0.003058,0.007040,0.018166,0.018172,0.018078,0.018560,0.019975,0.029612,0.030233,0.033215,0.030811,0.032122
20251003143810-TorIP_geocoded,0.001241,0.000000,0.002050,0.002050,0.002050,0.006694,0.017467,0.017573,0.017732,0.018094,0.019828,0.029249,0.029835,0.032768,0.030386,0.031722
20251003164852-TorIP_geocoded,0.003058,0.002050,0.000000,0.000000,0.000000,0.007195,0.017492,0.017562,0.018275,0.018689,0.020764,0.029691,0.030209,0.033030,0.030724,0.031419
20251003172946-TorIP_geocoded,0.003058,0.002050,0.000000,0.000000,0.000000,0.007195,0.017492,0.017562,0.018275,0.018689,0.020764,0.029691,0.030209,0.033030,0.030724,0.031419
20251003173524-TorIP_geocoded,0.003058,0.002050,0.000000,0.000000,0.000000,0.007195,0.017492,0.017562,0.018275,0.018689,0.020764,0.029691,0.030209,0.033030,0.030724,0.031419
20251004173514-TorIP_geocoded,0.007040,0.006694,0.007195,0.007195,0.007195,0.000000,0.013756,0.012978,0.013163,0.013135,0.016149,0.024904,0.025242,0.027733,0.025661,0.026701
20251005173523-TorIP_geocoded,0.018166,0.017467,0.017492,0.017492,0.017492,0.013756,0.000000,0.004859,0.010360,0.016646,0.020107,0.029756,0.028940,0.029949,0.029670,0.029252
20251006173520-TorIP_geocoded,0.018172,0.017573,0.017562,0.017562,0.017562,0.012978,0.004859,0.000000,0.007898,0.014713,0.018402,0.026727,0.025892,0.027175,0.026931,0.027424
20251007173522-TorIP_geocoded,0.018078,0.017732,0.018275,0.018275,0.018275,0.013163,0.010360,0.007898,0.000000,0.010423,0.013706,0.026267,0.025250,0.026335,0.026079,0.027605
20251008173518-TorIP_geocoded,0.018560,0.018094,0.018689,0.018689,0.018689,0.013135,0.016646,0.014713,0.010423,0.000000,0.006647,0.020247,0.019486,0.021397,0.020304,0.021261
20251009173527-TorIP_geocoded,0.019975,0.019828,0.020764,0.020764,0.020764,0.016149,0.020107,0.018402,0.013706,0.006647,0.000000,0.017711,0.018828,0.022389,0.020216,0.021450
20251010173526-TorIP_geocoded,0.029612,0.029249,0.029691,0.029691,0.029691,0.024904,0.029756,0.026727,0.026267,0.020247,0.017711,0.000000,0.002364,0.007580,0.005438,0.008650
20251011173523-TorIP_geocoded,0.030233,0.029835,0.030209,0.030209,0.030209,0.025242,0.028940,0.025892,0.025250,0.019486,0.018828,0.002364,0.000000,0.006143,0.005616,0.006970
20251012173526-TorIP_geocoded,0.033215,0.032768,0.033030,0.033030,0.033030,0.027733,0.029949,0.027175,0.026335,0.021397,0.022389,0.007580,0.006143,0.000000,0.003291,0.005573
20251013173525-TorIP_geocoded,0.030811,0.030386,0.030724,0.030724,0.030724,0.025661,0.029670,0.026931,0.026079,0.020304,0.020216,0.005438,0.005616,0.003291,0.000000,0.005607
20251014173524-TorIP_geocoded,0.032122,0.031722,0.031419,0.031419,0.031419,0.026701,0.029252,0.027424,0.027605,0.021261,0.021450,0.008650,0.006970,0.005573,0.005607,0.000000
