,20251003142418-TorIP_geocoded,20251003143810-TorIP_geocoded,20251003164852-TorIP_geocoded,20251003172946-TorIP_geocoded,20251003173524-TorIP_geocoded,20251004173514-TorIP_geocoded,20251005173523-TorIP_geocoded,20251006173520-TorIP_geocoded,20251007173522-TorIP_geocoded,20251008173518-TorIP_geocoded,20251009173527-TorIP_geocoded,20251010173526-TorIP_geocoded,20251011173523-TorIP_geocoded,20251012173526-TorIP_geocoded,20251013173525-TorIP_geocoded,20251014173524-TorIP_geocoded
20251003142418-TorIP_geocoded,0.000000,0.135370,0.142301,0.142301,0.142301,0.241050,0.479241,0.421333,0.433360,0.756518,0.850902,0.590131,0.602674,0.713590,0.635285,0.616409
20251003143810-TorIP_geocoded,0.135370,0.000000,0.084285,0.084285,0.084285,0.164008,0.417871,0.358385,0.329336,0.627235,0.723437,0.505398,0.523787,0.643176,0.563223,0.546389
20251003164852-TorIP_geocoded,0.142301,0.084285,0.000000,0.000000,0.000000,0.128925,0.361503,0.304817,0.372065,0.698221,0.791739,0.492288,0.492518,0.591254,0.518490,0.499620
20251003172946-TorIP_geocoded,0.142301,0.084285,0.000000,0.000000,0.000000,0.128925,0.361503,0.304817,0.372065,0.698221,0.791739,0.492288,0.492518,0.591254,0.518490,0.499620
20251003173524-TorIP_geocoded,0.142301,0.084285,0.000000,0.000000,0.000000,0.128925,0.361503,0.304817,0.372065,0.698221,0.791739,0.492288,0.492518,0.591254,0.518490,0.499620
20251004173514-TorIP_geocoded,0.241050,0.164008,0.128925,0.128925,0.128925,0.000000,0.269550,0.229781,0.339823,0.679654,0.773970,0.381303,0.378528,0.488761,0.417061,0.396076
20251005173523-TorIP_geocoded,0.479241,0.417871,0.361503,0.361503,0.361503,0.269550,0.000000,0.077912,0.365187,0.766622,0.886957,0.331043,0.276401,0.338837,0.308130,0.293896
20251006173520-TorIP_geocoded,0.421333,0.358385,0.304817,0.304817,0.304817,0.229781,0.077912,0.000000,0.304217,0.701498,0.823839,0.316454,0.281699,0.386312,0.332475,0.303704
20251007173522-TorIP_geocoded,0.433360,0.329336,0.372065,0.372065,0.372065,0.339823,0.365187,0.304217,0.000000,0.443970,0.554096,0.486313,0.498122,0.659231,0.587330,0.563166
20251008173518-TorIP_geocoded,0.756518,0.627235,0.698221,0.698221,0.698221,0.679654,0.766622,0.701498,0.443970,0.000000,0.196833,0.679144,0.698336,0.952191,0.848286,0.816757
20251009173527-TorIP_geocoded,0.850902,0.723437,0.791739,0.791739,0.791739,0.773970,0.886957,0.823839,0.554096,0.196833,0.000000,0.774351,0.806381,1.056326,0.946337,0.932121
20251010173526-TorIP_geocoded,0.590131,0.505398,0.492288,0.492288,0.492288,0.381303,0.331043,0.316454,0.486313,0.679144,0.774351,0.000000,0.086568,0.357624,0.238681,0.242327
20251011173523-TorIP_geocoded,0.602674,0.523787,0.492518,0.492518,0.492518,0.378528,0.276401,0.281699,0.498122,0.698336,0.806381,0.086568,0.000000,0.314214,0.210022,0.196928
20251012173526-TorIP_geocoded,0.713590,0.643176,0.591254,0.591254,0.591254,0.488761,0.338837,0.386312,0.659231,0.952191,1.056326,0.357624,0.314214,0.000000,0.135195,0.203883
20251013173525-TorIP_geocoded,0.635285,0.563223,0.518490,0.518490,0.518490,0.417061,0.308130,0.332475,0.587330,0.848286,0.946337,0.238681,0.210022,0.135195,0.000000,0.124800
20251014173524-TorIP_geocoded,0.616409,0.546389,0.499620,0.499620,0.499620,0.396076,0.293896,0.303704,0.563166,0.816757,0.932121,0.242327,0.196928,0.203883,0.124800,0.000000
