ip,timestamp,lat,lng
171.25.193.25,2025-10-13 07:06:50,59.3247,18.056
80.67.167.81,2025-10-13 07:37:43,48.8582,2.3387
198.98.51.189,2025-10-13 07:33:51,40.6063,-74.1774
89.58.26.216,2025-10-13 07:40:08,51.2993,9.491
109.70.100.4,2025-10-13 07:43:56,48.1936,16.3726
5.45.102.93,2025-10-13 07:45:48,51.2993,9.491
192.42.116.196,2025-10-13 07:45:59,52.3824,4.8995
45.141.215.62,2025-10-13 07:36:20,45.4722,9.1922
94.102.51.15,2025-10-13 07:19:51,52.3759,4.8975
192.42.116.213,2025-10-13 07:39:46,52.3824,4.8995
45.141.215.80,2025-10-13 07:41:20,45.4722,9.1922
193.26.115.61,2025-10-13 07:31:28,50.1084,8.6841
192.42.116.175,2025-10-13 07:40:11,52.3824,4.8995
149.56.44.47,2025-10-13 07:32:55,45.4995,-73.5848
87.118.116.103,2025-10-13 07:42:28,51.2993,9.491
192.42.116.208,2025-10-13 07:46:42,52.3824,4.8995
89.58.41.156,2025-10-13 07:43:34,51.2993,9.491
2.58.56.43,2025-10-13 07:40:29,48.7855,2.1971
109.70.100.1,2025-10-13 07:46:06,48.1936,16.3726
185.244.192.175,2025-10-13 07:32:04,51.2993,9.491
192.42.116.184,2025-10-13 07:45:52,52.3824,4.8995
179.43.182.232,2025-10-13 07:28:45,47.3682,8.5671
109.70.100.2,2025-10-13 07:41:02,48.1936,16.3726
104.244.75.74,2025-10-12 11:14:31,49.6113,6.1294
37.187.5.192,2025-10-13 07:04:56,48.8582,2.3387
45.141.215.169,2025-10-13 07:46:04,45.4722,9.1922
109.70.100.66,2025-10-13 07:47:27,48.1936,16.3726
179.43.159.199,2025-10-13 07:31:05,47.3682,8.5671
192.42.116.201,2025-10-13 07:41:50,52.3824,4.8995
195.176.3.23,2025-10-13 07:16:22,46.2334,6.1164
45.138.16.42,2025-10-13 07:40:25,52.3824,4.8995
216.73.159.75,2025-10-13 07:28:22,-39.8,-73.2333
185.165.169.239,2025-10-13 07:12:14,-4.5833,55.6667
109.70.100.6,2025-10-13 07:46:33,48.1936,16.3726
45.80.158.27,2025-10-13 07:34:42,52.3824,4.8995
45.138.16.240,2025-10-13 07:46:52,52.3824,4.8995
192.42.116.173,2025-10-13 07:37:17,52.3824,4.8995
192.42.116.200,2025-10-13 07:39:38,52.3824,4.8995
45.141.215.63,2025-10-13 07:37:52,45.4722,9.1922
192.42.116.211,2025-10-13 07:35:23,52.3824,4.8995
109.70.100.69,2025-10-13 07:42:45,48.1936,16.3726
185.35.202.222,2025-10-13 07:37:27,59.955,10.859
109.70.100.65,2025-10-13 07:40:35,48.1936,16.3726
192.42.116.181,2025-10-13 07:44:49,52.3824,4.8995
194.26.192.77,2025-10-13 07:43:02,51.2993,9.491
124.198.132.172,2025-10-13 07:46:57,-42.0,174.0
109.70.100.67,2025-10-13 07:45:28,48.1936,16.3726
128.31.0.13,2025-10-13 07:44:26,37.751,-97.822
192.42.116.174,2025-10-13 07:44:50,52.3824,4.8995
185.241.208.115,2025-10-13 07:44:13,52.3824,4.8995
192.42.116.202,2025-10-13 07:41:36,52.3824,4.8995
45.141.215.97,2025-10-13 07:43:13,45.4722,9.1922
78.142.18.219,2025-10-13 07:42:26,42.696,23.332
192.42.116.192,2025-10-13 07:41:08,52.3824,4.8995
190.120.229.98,2025-10-13 07:01:10,-12.0464,-77.0428
192.42.116.177,2025-10-13 07:44:34,52.3824,4.8995
45.138.16.113,2025-10-13 07:27:07,52.3824,4.8995
192.42.116.212,2025-10-13 07:43:36,52.3824,4.8995
