ip,timestamp,lat,lon,pred,score,source_file
216.73.159.75,2025-10-03 03:02:55,-39.8,-73.2333,-1,-0.20364382085289467,20251003142418-TorIP_geocoded.csv
185.165.169.239,2025-10-03 04:40:01,-4.5833,55.6667,-1,-0.10556682399714323,20251003142418-TorIP_geocoded.csv
124.198.132.172,2025-10-03 04:40:18,-42.0,174.0,-1,-0.21055847160499608,20251003142418-TorIP_geocoded.csv
190.120.229.98,2025-10-03 04:34:59,-12.0464,-77.0428,-1,-0.16179368323219057,20251003142418-TorIP_geocoded.csv
139.99.172.11,2025-10-03 03:07:27,-33.8601,151.2101,-1,-0.19553242272353755,20251003142418-TorIP_geocoded.csv
138.59.18.110,2025-10-03 04:13:04,10.0029,-84.0,-1,-0.13334528655602274,20251003142418-TorIP_geocoded.csv
185.246.188.73,2025-10-03 04:26:56,-4.5833,55.6667,-1,-0.10556682399714323,20251003142418-TorIP_geocoded.csv
102.130.113.9,2025-10-03 04:44:32,-26.3811,27.8376,-1,-0.15538999125586517,20251003142418-TorIP_geocoded.csv
185.227.134.106,2025-10-03 04:29:57,47.4902,-122.3004,-1,-0.130917412476396,20251003142418-TorIP_geocoded.csv
71.19.144.106,2025-10-03 04:09:33,37.353,-121.9543,-1,-0.03361790695637512,20251003142418-TorIP_geocoded.csv
185.246.188.74,2025-10-03 04:42:34,-4.5833,55.6667,-1,-0.10556682399714323,20251003142418-TorIP_geocoded.csv
51.81.222.62,2025-10-03 04:16:14,45.5229,-122.9898,-1,-0.11957149530896305,20251003142418-TorIP_geocoded.csv
173.255.198.243,2025-10-03 04:01:49,32.9473,-96.7028,-1,-0.0008868901844810706,20251003142418-TorIP_geocoded.csv
216.73.159.101,2025-10-03 04:34:24,-39.8,-73.2333,-1,-0.20364382085289467,20251003142418-TorIP_geocoded.csv
160.119.249.240,2025-10-03 03:45:57,-29.0,24.0,-1,-0.15934767859669874,20251003142418-TorIP_geocoded.csv
124.198.131.253,2025-10-03 04:42:22,-42.0,174.0,-1,-0.21055847160499608,20251003142418-TorIP_geocoded.csv
103.109.101.105,2025-10-03 04:31:53,22.2578,114.1657,-1,-0.12844762485134753,20251003142418-TorIP_geocoded.csv
72.14.179.10,2025-10-03 04:20:42,32.9473,-96.7028,-1,-0.0008868901844810706,20251003142418-TorIP_geocoded.csv
198.58.107.53,2025-10-03 04:17:09,32.9473,-96.7028,-1,-0.0008868901844810706,20251003142418-TorIP_geocoded.csv
93.95.228.125,2025-10-03 04:36:28,64.1439,-21.98,-1,-0.11459567272150384,20251003142418-TorIP_geocoded.csv
125.212.241.131,2025-10-03 04:31:08,10.822,106.6257,-1,-0.13564020964667445,20251003142418-TorIP_geocoded.csv
185.246.189.99,2025-10-03 04:28:13,-4.5833,55.6667,-1,-0.10556682399714323,20251003142418-TorIP_geocoded.csv
185.246.188.149,2025-10-03 04:22:15,-4.5833,55.6667,-1,-0.10556682399714323,20251003142418-TorIP_geocoded.csv
123.253.35.32,2025-10-03 04:29:47,2.5,112.5,-1,-0.1386422576468035,20251003142418-TorIP_geocoded.csv
185.191.204.254,2025-10-03 04:43:28,31.5,34.75,-1,-0.04590983052910791,20251003142418-TorIP_geocoded.csv
102.130.117.167,2025-10-03 04:43:49,-26.3811,27.8376,-1,-0.15538999125586517,20251003142418-TorIP_geocoded.csv
185.112.146.167,2025-10-03 04:00:55,65.0,-18.0,-1,-0.1095864986254469,20251003142418-TorIP_geocoded.csv
185.106.102.102,2025-10-03 04:25:27,35.0,33.0,-1,-0.019348900486666376,20251003142418-TorIP_geocoded.csv
165.73.242.163,2025-10-03 04:41:23,-29.0,24.0,-1,-0.15934767859669874,20251003142418-TorIP_geocoded.csv
27.255.75.198,2025-10-03 04:26:49,37.5112,126.9741,-1,-0.12457529984966143,20251003142418-TorIP_geocoded.csv
114.35.245.150,2025-10-03 04:02:10,25.0504,121.5324,-1,-0.1324136988032425,20251003142418-TorIP_geocoded.csv
103.164.54.199,2025-10-03 04:15:57,1.3673,103.8014,-1,-0.11689263255982185,20251003142418-TorIP_geocoded.csv
24.240.72.170,2025-10-03 04:21:08,45.21,-93.6607,-1,-0.016198474308530053,20251003142418-TorIP_geocoded.csv
2.56.10.36,2025-10-03 04:30:33,-4.5833,55.6667,-1,-0.10556682399714323,20251003142418-TorIP_geocoded.csv
93.95.231.88,2025-10-03 04:19:51,65.0,-18.0,-1,-0.1095864986254469,20251003142418-TorIP_geocoded.csv
202.182.99.129,2025-10-03 03:29:26,35.5819,139.7663,-1,-0.14162095023363475,20251003142418-TorIP_geocoded.csv
31.129.22.65,2025-10-03 04:16:19,50.2705,127.5352,-1,-0.10650043266390463,20251003142418-TorIP_geocoded.csv
200.122.181.2,2025-10-03 04:05:54,10.0029,-84.0,-1,-0.13334528655602274,20251003142418-TorIP_geocoded.csv
82.221.128.191,2025-10-03 04:13:15,65.0,-18.0,-1,-0.1095864986254469,20251003142418-TorIP_geocoded.csv
82.221.131.5,2025-10-03 04:06:21,65.0,-18.0,-1,-0.1095864986254469,20251003142418-TorIP_geocoded.csv
193.36.132.21,2025-10-03 04:27:25,1.2848,103.7857,-1,-0.11845464252676019,20251003142418-TorIP_geocoded.csv
185.165.171.84,2025-10-03 04:29:40,-4.5833,55.6667,-1,-0.10556682399714323,20251003142418-TorIP_geocoded.csv
124.198.131.108,2025-10-03 04:41:26,-42.0,174.0,-1,-0.21055847160499608,20251003142418-TorIP_geocoded.csv
139.99.8.57,2025-10-03 04:30:53,1.2746,103.8378,-1,-0.11716179134729576,20251003142418-TorIP_geocoded.csv
172.104.182.84,2025-10-03 04:02:12,1.3036,103.8554,-1,-0.11810058675171908,20251003142418-TorIP_geocoded.csv
72.235.129.116,2025-10-03 04:42:37,21.289,-157.8028,-1,-0.16244911034575027,20251003142418-TorIP_geocoded.csv
190.103.179.98,2025-10-03 04:35:12,31.7198,-106.4195,-1,-0.03139749228214528,20251003142418-TorIP_geocoded.csv
82.221.139.190,2025-10-03 04:40:55,65.0,-18.0,-1,-0.1095864986254469,20251003142418-TorIP_geocoded.csv
121.78.28.166,2025-10-03 04:04:18,37.5112,126.9741,-1,-0.12457529984966143,20251003142418-TorIP_geocoded.csv
93.95.231.14,2025-10-03 04:12:39,65.0,-18.0,-1,-0.1095864986254469,20251003142418-TorIP_geocoded.csv
103.28.52.93,2025-10-03 04:16:22,-6.1728,106.8272,-1,-0.13388773390165654,20251003142418-TorIP_geocoded.csv
93.95.227.37,2025-10-03 04:20:29,65.0,-18.0,-1,-0.1095864986254469,20251003142418-TorIP_geocoded.csv
172.104.186.73,2025-10-03 04:46:05,1.3036,103.8554,-1,-0.11810058675171908,20251003142418-TorIP_geocoded.csv
103.146.203.11,2025-10-03 04:13:24,-6.9214,106.9259,-1,-0.13571924716236472,20251003142418-TorIP_geocoded.csv
166.70.207.2,2025-10-03 04:31:17,40.3119,-111.6959,-1,-0.007251813030325516,20251003142418-TorIP_geocoded.csv
125.253.56.119,2025-10-03 04:11:26,-27.4719,153.0196,-1,-0.1932409549120242,20251003142418-TorIP_geocoded.csv
154.53.58.161,2025-10-03 04:45:44,47.6034,-122.3414,-1,-0.1309918544233979,20251003142418-TorIP_geocoded.csv
124.198.131.223,2025-10-03 04:45:10,-42.0,174.0,-1,-0.21055847160499608,20251003142418-TorIP_geocoded.csv
185.247.226.95,2025-10-03 04:33:36,-4.5833,55.6667,-1,-0.10556682399714323,20251003142418-TorIP_geocoded.csv
131.72.79.38,2025-10-03 04:09:45,10.2732,-61.3847,-1,-0.13628573771785946,20251003142418-TorIP_geocoded.csv
124.198.132.237,2025-10-03 04:42:47,-42.0,174.0,-1,-0.21055847160499608,20251003142418-TorIP_geocoded.csv
203.55.81.1,2025-10-03 04:40:18,-33.494,143.2104,-1,-0.19014514568192975,20251003142418-TorIP_geocoded.csv
203.55.81.2,2025-10-03 04:45:31,-33.494,143.2104,-1,-0.19014514568192975,20251003142418-TorIP_geocoded.csv
185.227.68.78,2025-10-03 04:25:19,60.1816,24.8368,-1,-0.0006199968846288817,20251003142418-TorIP_geocoded.csv
94.74.164.89,2025-10-03 04:06:19,35.698,51.4115,-1,-0.038337373755850446,20251003142418-TorIP_geocoded.csv
43.160.194.14,2025-10-03 04:03:35,34.7732,113.722,-1,-0.1170585334011619,20251003142418-TorIP_geocoded.csv
180.150.226.99,2025-10-03 04:18:36,37.5112,126.9741,-1,-0.12457529984966143,20251003142418-TorIP_geocoded.csv
72.211.49.235,2025-10-03 04:11:21,32.7994,-117.1686,-1,-0.06681707200665621,20251003142418-TorIP_geocoded.csv
185.246.188.115,2025-10-03 04:31:43,-4.5833,55.6667,-1,-0.10556682399714323,20251003142418-TorIP_geocoded.csv
93.95.231.118,2025-10-01 07:03:32,65.0,-18.0,-1,-0.1095864986254469,20251003142418-TorIP_geocoded.csv
162.220.14.54,2025-10-03 04:11:34,34.0485,-118.2529,-1,-0.06594506343779183,20251003142418-TorIP_geocoded.csv
162.220.14.78,2025-10-03 04:33:58,34.0485,-118.2529,-1,-0.06594506343779183,20251003142418-TorIP_geocoded.csv
124.198.131.62,2025-10-03 04:41:42,-42.0,174.0,-1,-0.21055847160499608,20251003142418-TorIP_geocoded.csv
124.198.132.13,2025-10-03 04:44:25,-42.0,174.0,-1,-0.21055847160499608,20251003142418-TorIP_geocoded.csv
118.163.74.160,2025-10-03 03:44:32,24.9389,121.5422,-1,-0.13299878678834376,20251003142418-TorIP_geocoded.csv
220.135.36.173,2025-10-03 04:04:58,24.9389,121.5422,-1,-0.13299878678834376,20251003142418-TorIP_geocoded.csv
80.253.251.56,2025-10-03 04:28:28,-4.5833,55.6667,-1,-0.10556682399714323,20251003142418-TorIP_geocoded.csv
